    0.0747660      21.9841
     0.168224      36.6591
     0.242990      40.7054
     0.317756      39.1405
     0.392522      47.1718
     0.467288      40.0355
     0.542054      41.9762
     0.635511      36.7309
     0.728969      37.9757
     0.803735      37.4704
     0.897192      35.1409
     0.990650      37.4154
      1.06542      36.8986
      1.15887      33.4016
      1.27102      32.5580
      1.36448      32.5935
      1.45794      30.5219
      1.57009      32.3393
      1.68224      29.9144
      1.79438      28.2389
      1.88784      30.2119
      1.98130      29.5032
      2.11214      19.4838
      2.24298      28.8126
      2.37382      26.6155
      2.50466      26.7909
      2.61681      25.6036
      2.72896      25.6564
      2.85980      25.9327
